Timestamp,Milliseconds,LightValue
2025-05-15 13:37:40,9535000,1023
2025-05-15 13:37:45,9540000,1023
2025-05-15 13:37:50,9545000,1021
2025-05-15 13:37:55,9550000,1023
2025-05-15 13:38:00,9555000,1023
2025-05-15 13:38:05,9560000,1023
2025-05-15 13:38:10,9565000,1014
2025-05-15 13:38:15,9570000,993
2025-05-15 13:38:20,9575000,32
2025-05-15 13:38:25,9580000,1023
2025-05-15 13:38:30,9585000,27
2025-05-15 13:38:35,9590000,1023
2025-05-15 13:38:40,9595000,34
2025-05-15 13:38:45,9600000,33
2025-05-15 13:38:50,9605000,30
2025-05-15 13:38:55,9610000,33
2025-05-15 13:39:00,9615000,1021
2025-05-15 13:39:05,9620000,1023
2025-05-15 13:39:10,9625000,1023
2025-05-15 13:39:15,9630000,1023
2025-05-15 13:39:20,9635000,1023
2025-05-15 13:39:25,9640000,1023
2025-05-15 13:39:30,9645000,1023
2025-05-15 13:39:35,9650000,1023
2025-05-15 13:39:40,9655000,1023
2025-05-15 13:39:45,9660000,1023
2025-05-15 13:39:50,9665000,1023
2025-05-15 13:39:55,9670000,1023
2025-05-15 13:40:00,9675000,1022
2025-05-15 13:40:05,9680000,1023
2025-05-15 13:40:10,9685000,1023
2025-05-15 13:40:15,9690000,1023
2025-05-15 13:40:20,9695000,1023
2025-05-15 13:40:25,9700000,1023
2025-05-15 13:40:30,9705000,1023
2025-05-15 13:40:35,9710000,1023
2025-05-15 13:40:40,9715000,1023
2025-05-15 13:40:45,9720000,1023
2025-05-15 13:40:50,9725000,1023
2025-05-15 13:40:55,9730000,1023
2025-05-15 13:41:00,9735000,1023
2025-05-15 13:41:05,9740000,1023
2025-05-15 13:41:10,9745000,1023
2025-05-15 13:41:15,9750000,1021
2025-05-15 13:41:20,9755000,1023
2025-05-15 13:41:25,9760000,1023
2025-05-15 13:41:30,9765000,1023
2025-05-15 13:41:35,9770000,1023
2025-05-15 13:41:40,9775000,1023
2025-05-15 13:41:45,9780000,1023
2025-05-15 13:41:50,9785000,1023
2025-05-15 13:41:55,9790000,1023
2025-05-15 13:42:00,9795000,1023
2025-05-15 13:42:05,9800000,1023
2025-05-15 13:42:10,9805000,1023
2025-05-15 13:42:15,9810000,1023
2025-05-15 13:42:20,9815000,1023
2025-05-15 13:42:25,9820000,1023
2025-05-15 13:42:30,9825000,1023
2025-05-15 13:42:35,9830000,1023
2025-05-15 13:42:40,9835000,1023
2025-05-15 13:42:45,9840000,1023
2025-05-15 13:42:50,9845000,1023
2025-05-15 13:42:55,9850000,1023
2025-05-15 13:43:00,9855000,1023
2025-05-15 13:43:05,9860000,1023
2025-05-15 13:43:10,9865000,1023
2025-05-15 13:43:15,9870000,1023
2025-05-15 13:43:20,9875000,1023
2025-05-15 13:43:25,9880000,1023
2025-05-15 13:43:30,9885000,1023
2025-05-15 13:43:35,9890000,1023
2025-05-15 13:43:40,9895000,1022
2025-05-15 13:43:45,9900000,27
2025-05-15 13:43:50,9905000,33
2025-05-15 13:43:55,9910000,1023
2025-05-15 13:44:00,9915000,1023
2025-05-15 13:44:05,9920000,1023
2025-05-15 13:44:10,9925000,1023
2025-05-15 13:44:15,9930000,1023
2025-05-15 13:44:20,9935000,1023
2025-05-15 13:44:25,9940000,1023
2025-05-15 13:44:30,9945000,1023
2025-05-15 13:44:35,9950000,1022
2025-05-15 13:44:40,9955000,1023
2025-05-15 13:44:45,9960000,1023
2025-05-15 13:44:50,9965000,1023
2025-05-15 13:44:55,9970000,1023
2025-05-15 13:45:00,9975000,1023
2025-05-15 13:45:05,9980000,1022
2025-05-15 13:45:10,9985000,1023
2025-05-15 13:45:15,9990000,1023
