sensor_name,timestamp,x,y,z
LSM6DS3,672636,0.67,0.31,0.49
LSM6DS3,677647,0.61,0.31,0.24
LSM6DS3,682659,0.49,0.0,-0.12
LSM6DS3,687671,1.83,5.49,-26.98
LSM6DS3,692683,13.73,-2.38,-11.72
LSM6DS3,697693,-8.85,2.93,9.89
LSM6DS3,702704,0.67,9.64,12.21
LSM6DS3,707714,7.51,-0.49,-6.29
LSM6DS3,712725,3.91,-0.37,-3.91
LSM6DS3,717737,-3.36,1.65,5.86
LSM6DS3,722750,-1.04,0.31,2.38
LSM6DS3,727761,85.21,171.81,-64.64
LSM6DS3,732773,-0.67,6.53,10.38
LSM6DS3,737785,17.4,23.44,27.77
LSM6DS3,742797,0.55,0.24,0.37
LSM6DS3,747809,0.49,-10.38,-0.12
LSM6DS3,752819,0.73,1.71,0.12
LSM6DS3,757831,0.49,-1.34,-19.23
LSM6DS3,762843,0.55,0.24,0.31
LSM6DS3,767856,0.55,0.18,0.43
LSM6DS3,772867,0.61,0.06,0.24
LSM6DS3,777878,0.61,0.18,0.31
LSM6DS3,782891,0.55,0.24,0.24
LSM6DS3,787900,0.61,0.37,0.31
LSM6DS3,792911,0.61,-0.31,0.55
LSM6DS3,797923,0.55,0.24,0.31
LSM6DS3,802935,0.61,0.24,0.31
LSM6DS3,807947,0.55,0.24,0.31
LSM6DS3,812959,0.55,0.18,0.31
LSM6DS3,817969,0.61,0.24,0.31
LSM6DS3,822981,0.55,0.18,0.37
LSM6DS3,827994,0.43,0.0,0.37
LSM6DS3,833006,0.55,0.18,0.31
LSM6DS3,838018,0.67,0.31,0.31
LSM6DS3,843030,0.55,0.24,0.37
LSM6DS3,848042,0.61,0.18,0.43
LSM6DS3,853053,0.49,0.24,0.43
LSM6DS3,858066,0.67,0.31,0.31
LSM6DS3,863076,0.55,0.24,0.31
LSM6DS3,868088,0.55,0.06,0.37
LSM6DS3,873100,0.61,0.24,0.37
LSM6DS3,878112,0.55,0.0,0.37
LSM6DS3,883122,0.55,0.24,0.31
LSM6DS3,888134,0.55,0.24,0.37
LSM6DS3,893146,0.55,0.18,0.37
LSM6DS3,898158,0.55,0.18,0.31
LSM6DS3,903170,0.55,0.24,0.31
LSM6DS3,908182,0.55,0.24,0.31
LSM6DS3,913194,0.61,0.24,0.37
LSM6DS3,918206,0.61,0.18,0.31
LSM6DS3,923217,0.55,0.18,0.37
LSM6DS3,928227,0.61,0.24,0.31
LSM6DS3,933239,0.61,0.18,0.37
LSM6DS3,938251,0.55,0.24,0.31
LSM6DS3,943261,0.61,0.24,0.37
LSM6DS3,948273,0.55,0.24,0.31
LSM6DS3,953284,0.55,0.24,0.31
